Id;Hersteller;Bezeichnung;Notizblockphoto;AnzPhotos;Ab Mission;Ab Tag;verfügbar ab;Spann- weite (m);Länge (m);Höhe (m);Max. Start- gewicht kg;Passa- giere;Vreise kph;Reichweite km;Triebwerke;Schub (lb);Besat- zung;Service ;Fuel max. (l);Verbrauch (l/h);Neupreis;Wartungs- faktor;Bemerkung 
111;Airbus Industrie;A 300 ;999XL;1;3;0;1973;44.8;54.0;16. Nov;153000;375;875;8000;2 General Electric CF6-50;25000;2;5;29700;2983;28125000;1;The 1970's version of the A 300 was a joint development effort of several European partners. To date it has served as the model for the modern Airbus liner. The model currently in use is the revamped 600 version.
110;Airbus Industrie;A 310;999XL;1;3;15;1982;43.9;46.67;15.80;132000;250;900;7350;2 General Electric CF6-80C2A2;25000;2;4;24210;2850;22500000;1;The A 310 is an improvement of the 300 series, modernized, with a shorter fuselage and an additional tank in the elevator unit, which allows a better weight distribution.
108;Airbus Industrie;A 320 ;999XL;1;3;25;1988;33.9;37.6;11. Aug;66000;149;853;3717;2 General Electric / SNECMA CFM56-5A1s;25000;2;3;23870;3025;12000000;01. Jan;In 1984, after some initial teething problems, the production of the Airbus was subsidized by the British and German governments. The A 320 has a fuel saving of 43% compared with the 727, which makes it an interesting jet.
276;Airbus Industrie;A220-100;0;0;0;0;2016;35,1;35,0;11,5;60780;120;871;5920;2 Pratt & Whitney PW1500G;23300;2;3;21805;2600;40000000;0,8;Originally the Bombardier C Series CS100, acquired by Airbus in 2018. Offers single-aisle economics with widebody passenger comfort on thinner routes.
277;Airbus Industrie;A220-300;0;0;0;0;2016;35,1;38,7;11,5;70900;145;871;6300;2 Pratt & Whitney PW1500G;23300;2;3;21805;2800;46000000;0,8;Stretched A220, the optimal replacement for older 100-150 seat narrowbodies. Delta Air Lines and Air France operate large fleets.
212;Airbus Industrie;A318;0;0;0;0;2003;34,1;31,4;12,6;59000;107;829;5950;2 CFM International CFM56-5B or IAE V2500;22000;2;2;23860;2700;32000000;0,9;The smallest Airbus narrowbody, seating just over 100 passengers. Used on thin routes including the short-lived London City-New York ETOPS service.
213;Airbus Industrie;A319;0;0;0;0;1996;34,1;33,8;11,8;64000;124;833;6850;2 CFM International CFM56-5B6;22000;2;3;23860;2780;38000000;0,9;A shortened A320, popular with low-cost carriers and on thinner European routes. The A319CJ corporate jet variant is also widely operated.
215;Airbus Industrie;A319neo;0;0;0;0;2018;35,8;33,8;11,8;75500;120;833;8700;2 CFM International LEAP-1A or Pratt & Whitney PW1100G;24000;2;3;26730;2600;43000000;0,8;The new-engine option version of the A319, offering 15% fuel savings. Features Sharklet wingtip devices and an updated cabin.
216;Airbus Industrie;A320neo;0;0;0;0;2014;35,8;37,6;11,8;79000;165;833;6300;2 CFM International LEAP-1A or Pratt & Whitney PW1100G;27000;2;4;26730;2750;51000000;0,8;The best-selling airliner of all time. The neo (new engine option) cut fuel burn by 20% over the original A320 and became the industry standard narrowbody.
214;Airbus Industrie;A321;0;0;0;0;1994;34,1;44,5;11,8;83000;220;833;5930;2 CFM International CFM56-5B3;27000;2;5;23700;3300;62000000;0,9;The stretched A320 family member, offering maximum capacity on high-density short-haul routes. Dominant in European and Asian markets.
217;Airbus Industrie;A321neo;0;0;0;0;2017;35,8;44,5;11,8;97000;220;833;7400;2 CFM International LEAP-1A or Pratt & Whitney PW1100G;31000;2;5;32940;3200;68000000;0,8;Extended range A321 with new engines. The A321LR variant enables transatlantic operations, opening new point-to-point possibilities for narrowbody jets.
218;Airbus Industrie;A321XLR;0;0;0;0;2024;35,8;44,5;11,8;101000;200;833;8700;2 CFM International LEAP-1A or Pratt & Whitney PW1100G;31000;2;5;42570;3100;82000000;0,8;The extra long range A321 capable of flying 4,700 nm non-stop. Enables new thin transatlantic and transcontinental routes without widebody economics.
